"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.469301167E0,1.738035736E0,5.469625854E-1,8.222102051E0
1.479352167E0,7.824229431E-1,4.918771362E-1,1.145163620E1
1.489403167E0,-4.299060059E-1,2.768642578E0,9.145382080E0
1.499454167E0,3.861968994E-1,2.085313568E0,1.055350388E1
1.509505167E0,-1.094224548E-1,1.829495544E0,9.245673523E0
1.519556167E0,4.171824646E-1,1.376836853E0,9.627379761E0
1.529607167E0,3.815565491E-1,1.109941864E0,1.020502853E1
1.539658167E0,2.034269714E-1,2.138902130E0,9.611363068E0
1.549709167E0,9.243278503E-1,1.895059204E0,8.502618713E0
1.559760167E0,9.369017029E-1,1.260379028E-1,9.188791809E0
1.569811167E0,2.333497467E0,9.985734558E-1,9.682315521E0
1.579862167E0,2.002086639E0,1.407822418E0,7.803722076E0
1.589913167E0,2.796484680E0,9.226812744E-1,5.299729156E0
1.599964167E0,3.273991699E0,1.554367676E0,1.079854431E1
1.610015167E0,4.646188202E0,1.748663635E0,1.003872437E1
1.620066167E0,2.893782349E0,1.829495544E0,1.153621033E1
1.630117167E0,7.982899475E-1,2.082020416E0,1.070259384E1
1.640168167E0,2.386038208E-1,8.861572266E-2,1.311961761E1
1.650219167E0,-2.044598236E0,3.333717499E0,7.043153687E0
1.660270167E0,8.226892090E-1,1.380878448E0,1.159593613E1
1.670321167E0,5.764512634E-1,2.664459229E0,8.056396637E0
1.680372167E0,2.360591125E-1,-2.395019531E-2,1.165117126E1
1.690423167E0,-4.092489624E-1,3.072061615E0,8.639733582E0
1.700474167E0,1.176403656E0,8.436456299E-1,1.009455826E1
1.710525167E0,1.302591248E0,5.676196289E-1,1.038794815E1
1.720577167E0,7.105723572E-1,1.335672455E0,9.784702606E0
1.730628167E0,-1.468446350E-1,2.850073242E0,8.465944977E0
1.740679167E0,1.277144165E0,-3.680845642E-1,1.199620377E1
1.750730167E0,1.397793274E0,2.282303925E0,8.009993134E0
1.760781167E0,2.328707428E0,1.181792450E0,9.943222961E0
1.770832167E0,1.910926208E0,1.651665344E0,1.042656784E1
1.780883167E0,2.984344025E0,1.204694824E0,9.868079224E0
1.790934167E0,1.386716309E0,3.565585327E-1,9.583520966E0
1.800985167E0,1.962568817E0,1.813628540E0,1.086814957E1
1.811036167E0,7.542814636E-1,1.310824127E0,7.804021454E0
1.821087167E0,8.589138794E-1,-1.004860382E0,1.148381927E1
1.831138167E0,2.322420502E0,5.595364380E-1,9.945767670E0
1.841189167E0,-7.003935242E-1,1.881587219E0,8.761879578E0
