"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.589993292E0,-5.126030650E-3,-2.282015979E-1,-1.193607569E0
2.600044292E0,-4.109947756E-2,1.522288173E-1,-1.203512311E0
2.610095292E0,-2.301510721E-1,-1.654068381E-1,-1.337801814E0
2.620146292E0,-4.951507784E-3,-1.726548970E-1,-1.202636600E0
2.630197292E0,-1.714982837E-2,-6.998899579E-2,-1.206620574E0
2.640248292E0,7.611434162E-2,2.413584888E-1,-1.312442064E0
2.650299292E0,-3.117391467E-2,-2.931626141E-2,-1.195618272E0
2.660350292E0,4.094719291E-1,-1.518368572E-1,-1.236776114E0
2.670401292E0,2.052044868E-1,-2.305875272E-1,-1.002940893E0
2.680452292E0,2.459375262E-1,-1.231798455E-1,-1.117316365E0
2.690503292E0,4.964558035E-2,-2.147730440E-1,-9.798310399E-1
2.700554292E0,-5.492370576E-2,-2.036261111E-1,-8.274945021E-1
2.710605292E0,-1.018019542E-1,-9.654276073E-2,-7.468894124E-1
2.720656292E0,2.554189041E-2,-3.274721205E-1,-7.709369659E-1
2.730707292E0,2.357520163E-2,-6.239212677E-2,-6.665552258E-1
2.740758292E0,-8.147478104E-2,9.331065416E-2,-6.071020365E-1
2.750809292E0,1.776453853E-2,-1.152859703E-1,-4.597811699E-1
2.760860292E0,-3.071537986E-2,5.808123946E-1,-5.525649190E-1
2.770911292E0,-2.395044714E-1,-4.067766666E-1,-5.036769509E-1
2.780962292E0,1.652456671E-1,3.157939762E-2,-4.882162213E-1
2.791013292E0,1.034649834E-1,4.754697531E-2,-4.570223093E-1
2.801064292E0,1.729929298E-1,9.990312159E-2,-4.769214690E-1
2.811115292E0,4.041061178E-2,-4.004804790E-1,-4.447164536E-1
2.821166292E0,-5.902223289E-2,1.044718921E-1,-4.356710315E-1
2.831217292E0,-1.187885627E-1,-1.674038023E-1,-4.489792883E-1
2.841268292E0,-1.738065332E-1,-4.707259685E-2,-4.404720664E-1
2.851320292E0,1.415612642E-3,1.300710142E-1,-4.767103195E-1
2.861371292E0,5.524155870E-2,1.578421891E-1,-4.896857738E-1
2.871422292E0,-3.879469037E-1,8.089710772E-2,-4.135281444E-1
2.881473292E0,-6.239157915E-1,8.539305627E-2,-4.050393105E-1
2.891524292E0,8.274739608E-3,-1.281338781E-1,-5.407643914E-1
2.901575292E0,-2.164836042E-4,1.712280661E-1,-5.652140975E-1
2.911626292E0,-7.843479514E-2,-2.122085989E-1,-5.594562292E-1
2.921677292E0,2.758538350E-2,-1.746889204E-1,-6.157242656E-1
2.931728292E0,-4.542945325E-2,-1.332271248E-1,-4.612935781E-1
2.941779292E0,1.264507025E-1,1.066717505E-1,-5.227473378E-1
2.951830292E0,-5.689002201E-2,-2.245409638E-1,-4.842912853E-1
2.961881292E0,2.417819947E-2,3.218563497E-1,-5.015336871E-1
2.971932292E0,3.322216123E-2,-3.042786121E-1,-4.849796593E-1
2.981983292E0,8.221736178E-3,-3.656999171E-1,-4.142916203E-1
2.992034292E0,-9.632537514E-2,-2.400831133E-1,-3.515802324E-1
3.002085292E0,2.176205665E-1,-1.031941921E-2,-3.364614546E-1
3.012136292E0,-1.689610481E-1,-9.443056583E-2,-3.062201440E-1
3.022187292E0,-8.809736371E-2,-2.394740582E-1,-3.315268159E-1
3.032238292E0,5.180524662E-2,1.632115245E-1,-3.229300380E-1
3.042289292E0,-7.158698887E-2,-4.229936749E-3,-3.052189350E-1
3.052340292E0,-1.596452445E-1,1.048908085E-1,-3.151291609E-1
3.062391292E0,1.952036619E-1,1.722810417E-1,-3.007725775E-1
3.072442292E0,6.320307963E-3,-2.042068690E-1,-3.686577380E-1
3.082493292E0,7.896575332E-2,5.006109923E-2,-4.142297506E-1
3.092544292E0,1.336164400E-2,6.857971847E-2,-4.336983860E-1
3.102595292E0,4.036822915E-2,-9.876208380E-3,-4.578029215E-1
3.112646292E0,-8.878450096E-2,7.432653010E-2,-4.279196858E-1
3.122697292E0,5.928692874E-3,1.057145447E-1,-4.100847542E-1
3.132748292E0,-1.524705626E-2,-1.101599783E-1,-4.445992708E-1
3.142799292E0,9.626296163E-2,1.879537404E-1,-4.463068843E-1
3.152850292E0,-4.830328375E-2,-1.723858863E-1,-4.795452058E-1
3.162902292E0,-2.670850977E-2,9.217973053E-2,-4.500480294E-1
3.172953292E0,-8.664409816E-2,5.873822793E-2,-4.091461003E-1
3.183004292E0,4.903011024E-2,1.631886885E-2,-3.983320594E-1
3.193055292E0,4.500794411E-2,-1.410512254E-3,-3.852815926E-1
3.203106292E0,-2.719274908E-2,-1.775136292E-1,-4.137872458E-1
3.213157292E0,2.991552465E-2,2.365884930E-1,-4.327205718E-1
3.223208292E0,1.822211780E-2,-4.617609829E-2,-4.270613790E-1
3.233259292E0,6.681691110E-2,-8.996688761E-3,-4.551655650E-1
3.243310292E0,3.885878250E-2,-8.949765563E-2,-4.129469991E-1
3.253361292E0,-1.815020293E-2,6.252057850E-2,-3.901557624E-1
3.263412292E0,6.664803624E-2,1.325891316E-1,-3.582124710E-1
3.273463292E0,-3.571129963E-2,3.502622247E-2,-3.305135667E-1
3.283514292E0,5.832491815E-2,-4.206642881E-2,-3.228087723E-1
3.293565292E0,1.172621269E-3,2.591614425E-2,-3.353438377E-1
3.303616292E0,-1.750705764E-2,-4.254813492E-2,-3.058639765E-1
3.313667292E0,-6.327214837E-2,-4.053451866E-2,-2.692886591E-1
